Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
ENSMUSG00000099250.1	0	0	0	0	0	0	1	1
ENSMUSG00000099282.8	13	4	11	10	13	3	8	4
ENSMUSG00000099398.1	21	17	27	30	15	7	3	3
ENSMUSG00000099470.1	0	2	1	0	1	0	0	0
ENSMUSG00000099471.1	0	0	3	0	1	0	0	0
ENSMUSG00000099472.1	1	0	0	5	0	2	0	1
ENSMUSG00000099481.6	5	3	6	1	4	2	3	1
ENSMUSG00000099481.6_ENSMUSG00000100254.1	9	3	15	14	11	3	10	10
ENSMUSG00000099517.2	2	2	2	2	1	1	2	0
ENSMUSG00000099543.1	2	2	1	1	4	0	0	1
ENSMUSG00000099583.2	6	1	7	3	2	4	3	2
ENSMUSG00000099647.1	3	0	1	0	1	0	0	1
ENSMUSG00000099681.1	8	4	17	7	5	8	4	2
ENSMUSG00000099689.6	5	5	2	5	6	5	1	3
ENSMUSG00000099704.1	0	0	0	0	0	0	1	1
ENSMUSG00000099759.1	0	0	0	0	0	1	0	1
ENSMUSG00000099843.1	0	5	0	0	2	0	0	0
ENSMUSG00000099876.1_ENSMUSG00000069049.11	1	0	0	1	0	0	0	0
ENSMUSG00000099881.1	14	25	17	17	17	8	2	7
ENSMUSG00000099913.1	1	1	0	0	0	1	1	0
ENSMUSG00000099923.2	0	1	0	1	0	2	0	0
ENSMUSG00000099966.1	5	3	10	3	4	3	4	2
ENSMUSG00000099974.1	0	0	0	0	1	0	1	0
ENSMUSG00000100009.6	0	0	0	0	1	1	1	0
ENSMUSG00000100017.2	2	3	7	3	4	0	0	1
ENSMUSG00000100046.1	0	0	0	1	1	0	0	0
ENSMUSG00000100075.1	0	0	0	0	1	1	0	0
ENSMUSG00000100108.1_ENSMUSG00000049608.8	0	1	0	0	0	0	0	1
ENSMUSG00000100131.1	0	1	0	0	1	0	0	0
ENSMUSG00000100153.2	7	3	9	11	4	9	12	12
ENSMUSG00000100164.1	0	0	2	0	0	1	3	0
ENSMUSG00000100182.6	2	0	0	0	0	0	0	0
ENSMUSG00000100217.1	0	0	0	2	0	0	0	0
ENSMUSG00000100235.8	0	3	1	1	1	2	0	1
ENSMUSG00000100280.2	2	0	1	1	1	1	0	1
ENSMUSG00000100309.1	0	0	0	0	0	1	1	1
ENSMUSG00000100396.1	8	5	3	3	7	1	1	3
ENSMUSG00000100417.2	0	0	0	0	0	1	1	0
ENSMUSG00000100455.1	6	3	6	5	5	0	2	3
ENSMUSG00000100594.1	5	8	2	1	3	3	3	1
ENSMUSG00000100600.6	0	0	0	5	0	3	5	0
ENSMUSG00000100658.1	6	5	6	6	3	7	4	3
ENSMUSG00000100679.1_ENSMUSG00000026096.14	2	3	0	0	0	0	0	0
ENSMUSG00000100680.1	0	0	0	0	0	0	0	2
ENSMUSG00000100755.1	22	10	27	6	9	9	17	29
ENSMUSG00000100779.1	1	4	0	0	0	0	0	0
ENSMUSG00000100798.1	2	0	1	0	1	1	1	0
ENSMUSG00000100801.1	23	16	51	12	23	46	48	55
ENSMUSG00000100826.6	2	4	5	1	6	1	2	1
ENSMUSG00000100838.1	0	0	0	0	0	2	2	0
ENSMUSG00000100862.1	156	192	233	64	105	173	120	81
ENSMUSG00000100865.2	0	4	3	4	3	2	0	0
ENSMUSG00000100872.2	0	0	0	12	0	1	4	0
ENSMUSG00000100875.6	0	0	1	0	0	0	0	1
ENSMUSG00000100876.1	0	1	0	0	2	0	0	1
ENSMUSG00000100880.2	0	0	2	0	0	0	1	1
ENSMUSG00000100920.1	0	0	15	0	0	2	0	4
ENSMUSG00000100935.1	1	0	0	1	0	0	0	0
ENSMUSG00000100954.4	0	1	2	1	0	0	1	0
ENSMUSG00000100967.1	1	1	1	3	0	0	0	0
ENSMUSG00000100969.7	0	0	1	0	0	0	0	1
ENSMUSG00000100972.1	0	0	0	0	0	2	0	0
ENSMUSG00000100975.2	3	3	6	7	0	1	3	3
ENSMUSG00000100975.2_ENSMUSG00000054150.12	2	0	3	4	2	2	2	1
ENSMUSG00000101013.1	16	19	11	6	16	3	6	5
ENSMUSG00000101037.1	2	3	4	1	0	0	0	0
ENSMUSG00000101061.1_ENSMUSG00000026455.14	2	3	1	0	0	1	0	1
ENSMUSG00000101111.1	145	187	157	41	80	192	109	52
ENSMUSG00000101122.1	0	1	0	0	0	0	1	0
ENSMUSG00000101163.1	0	0	10	0	0	24	24	4
ENSMUSG00000101167.1	0	1	0	1	0	0	0	0
ENSMUSG00000101188.1	3	7	3	1	0	3	2	2
ENSMUSG00000101225.1	1	1	1	0	0	0	0	0
ENSMUSG00000101249.1	1	1	0	0	0	1	1	1
ENSMUSG00000101355.1	0	0	5	0	0	1	1	1
ENSMUSG00000101389.1	3	7	1	4	2	2	2	1
ENSMUSG00000101397.6	0	0	0	0	0	2	1	0
ENSMUSG00000101438.2	1	0	2	0	1	2	1	2
ENSMUSG00000101462.2	0	2	0	1	1	0	0	1
ENSMUSG00000101492.1	0	0	1	0	0	1	1	0
ENSMUSG00000101493.1	0	2	1	1	1	0	1	0
ENSMUSG00000101493.1_ENSMUSG00000006699.17	1	3	2	2	0	3	2	1
ENSMUSG00000101523.2	3	0	3	1	2	0	0	0
ENSMUSG00000101585.6	2	2	4	1	3	1	3	2
ENSMUSG00000101595.1	0	0	1	3	1	2	0	2
ENSMUSG00000101599.1_ENSMUSG00000084799.7	4	0	2	2	0	1	0	1
ENSMUSG00000101609.2	1	0	3	0	2	0	1	0
ENSMUSG00000101628.1	12	9	12	4	3	3	1	1
ENSMUSG00000101655.1	0	0	1	0	0	0	0	1
ENSMUSG00000101660.1	0	0	0	2	3	0	2	0
ENSMUSG00000101662.1_ENSMUSG00000055013.16	0	2	0	0	0	0	0	0
ENSMUSG00000101678.3	1	2	1	2	1	0	0	0
ENSMUSG00000101684.1	0	0	0	1	0	1	0	0
ENSMUSG00000101778.1	0	0	1	0	1	0	0	0
ENSMUSG00000101823.1	0	1	0	1	0	0	0	0
ENSMUSG00000101845.1	1	0	1	1	0	0	0	0
ENSMUSG00000101856.1	0	4	0	2	2	1	1	1
ENSMUSG00000101878.1	0	1	1	0	0	0	0	0
ENSMUSG00000101892.1	41	77	50	18	22	37	41	21
ENSMUSG00000101892.1_ENSMUSG00000022361.14	0	3	1	0	3	1	0	0
ENSMUSG00000101895.1	2	1	3	1	0	0	1	0
ENSMUSG00000101903.1	1	2	1	2	2	1	2	0
ENSMUSG00000101970.7	4	4	12	11	13	0	1	1
ENSMUSG00000101972.1	0	0	3	0	0	3	4	2
ENSMUSG00000101972.1_ENSMUSG00000069309.2	0	0	2	0	0	1	0	0
ENSMUSG00000102049.1	11	13	12	12	14	1	3	2
ENSMUSG00000102059.1	2	3	0	1	0	0	0	0
ENSMUSG00000102070.1	22	22	51	12	11	26	22	16
ENSMUSG00000102097.1	7	5	10	9	7	0	4	0
ENSMUSG00000102101.1	7	16	4	5	2	5	4	2
ENSMUSG00000102151.1	7	5	10	20	21	1	1	3
ENSMUSG00000102153.1	0	0	2	4	6	0	0	0
ENSMUSG00000102158.1	0	0	0	1	0	1	0	0
ENSMUSG00000102196.1	0	0	2	2	1	0	0	0
ENSMUSG00000102222.1	6	3	1	8	1	2	1	3
ENSMUSG00000102246.1_ENSMUSG00000037474.13	0	0	1	3	1	0	1	1
ENSMUSG00000102258.1	0	2	3	4	4	1	0	0
ENSMUSG00000102267.1	2	0	0	0	0	0	0	0
ENSMUSG00000102278.1	3	4	0	1	3	2	2	0
ENSMUSG00000102300.1	1	1	0	0	0	0	0	1
ENSMUSG00000102336.1	0	1	1	4	2	0	1	0
ENSMUSG00000102349.1	1	1	0	0	0	0	0	0
ENSMUSG00000102353.1	11	17	11	11	21	4	8	3
ENSMUSG00000102412.7	53	84	38	29	36	20	24	4
ENSMUSG00000102418.1	18	23	20	9	13	10	5	9
ENSMUSG00000102425.1	2	1	1	3	0	1	2	3
ENSMUSG00000102428.1	3	4	2	8	2	3	2	2
ENSMUSG00000102440.1	2	0	1	2	1	0	1	1
ENSMUSG00000102455.5	5	4	4	2	4	3	0	2
ENSMUSG00000102474.1	0	1	0	0	1	0	0	0
ENSMUSG00000102503.1	0	1	0	0	1	0	0	0
ENSMUSG00000102509.1	1	0	1	0	0	0	0	0
ENSMUSG00000102523.1	0	0	1	1	0	0	0	0
ENSMUSG00000102533.1_ENSMUSG00000079427.10	0	1	0	2	4	0	0	0
ENSMUSG00000102543.5	58	36	22	15	20	14	7	11
ENSMUSG00000102562.1	2	0	0	0	0	0	0	0
ENSMUSG00000102564.1	0	0	0	2	0	0	0	0
ENSMUSG00000102588.1	0	0	0	1	1	0	0	0
ENSMUSG00000102602.1	0	1	1	2	3	0	0	1
ENSMUSG00000102602.1_ENSMUSG00000028911.16	5	2	2	4	3	0	0	0
ENSMUSG00000102635.1_ENSMUSG00000041417.15	0	0	0	2	0	0	0	0
ENSMUSG00000102635.1_ENSMUSG00000041417.15_ENSMUSG00000104214.1	1	0	0	1	0	0	0	1
ENSMUSG00000102644.5	53	41	42	37	37	18	18	14
ENSMUSG00000102671.5	1	0	0	0	0	0	1	0
ENSMUSG00000102691.1_ENSMUSG00000026727.10	25	28	26	18	28	10	14	6
ENSMUSG00000102697.1	3	4	3	0	4	7	6	2
ENSMUSG00000102719.1	0	0	2	1	3	0	0	0
ENSMUSG00000102720.5	30	38	44	31	38	27	24	11
ENSMUSG00000102737.1	0	0	0	4	5	0	1	0
ENSMUSG00000102742.1	5	0	0	2	0	1	1	1
ENSMUSG00000102748.1	17	9	6	12	6	2	3	10
ENSMUSG00000102749.1	0	0	1	0	1	0	0	0
ENSMUSG00000102752.1	1	1	2	0	1	2	0	0
ENSMUSG00000102758.3	0	0	0	0	0	8	0	0
ENSMUSG00000102762.1	2	2	4	2	2	0	0	0
ENSMUSG00000102779.1	0	1	0	0	0	1	0	0
ENSMUSG00000102813.1	6	4	0	2	3	0	2	0
ENSMUSG00000102854.1	6	1	8	4	4	0	0	2
ENSMUSG00000102856.1	2	5	5	14	9	0	0	2
ENSMUSG00000102862.1	0	1	1	0	1	0	0	0
ENSMUSG00000102869.2	1108	876	585	1937	1071	398	356	549
ENSMUSG00000102882.1	0	0	1	0	1	0	2	1
ENSMUSG00000102918.1	150	103	70	95	75	48	53	77
ENSMUSG00000102964.1	0	0	0	2	0	0	0	0
ENSMUSG00000102976.6	83	72	98	68	69	56	55	30
ENSMUSG00000102982.1	0	1	0	0	1	0	0	0
ENSMUSG00000103009.1	46	31	14	25	22	4	10	14
ENSMUSG00000103013.1_ENSMUSG00000006301.17	4	6	3	1	4	0	5	2
ENSMUSG00000103019.2	27	19	13	25	18	13	14	10
ENSMUSG00000103030.1	3	0	0	3	1	0	0	0
ENSMUSG00000103034.1	0	0	1	2	1	2	1	2
ENSMUSG00000103041.1	0	2	3	1	1	2	0	1
ENSMUSG00000103081.2	1	1	0	2	1	2	1	3
ENSMUSG00000103083.1	0	0	1	0	1	0	0	0
ENSMUSG00000103085.1	0	0	0	0	0	0	0	2
ENSMUSG00000103088.1	1	1	0	0	0	0	0	0
ENSMUSG00000103094.1	8	3	5	7	8	0	1	1
ENSMUSG00000103103.1	2	2	0	0	1	1	2	0
ENSMUSG00000103103.1_ENSMUSG00000019039.14	2	0	1	1	1	0	0	0
ENSMUSG00000103119.1_ENSMUSG00000070683.7	0	0	0	0	2	0	0	0
ENSMUSG00000103123.1	1	0	0	0	1	0	0	0
ENSMUSG00000103139.1	2	0	1	3	0	0	0	0
ENSMUSG00000103144.1	4	3	1	1	3	1	3	0
ENSMUSG00000103156.1	0	1	2	0	0	1	1	0
ENSMUSG00000103174.1	2	4	1	2	4	1	1	1
ENSMUSG00000103183.1_ENSMUSG00000087381.8	0	0	0	1	1	0	0	0
ENSMUSG00000103205.1	20	15	13	7	21	13	7	9
ENSMUSG00000103213.1	8	6	4	3	1	0	2	0
ENSMUSG00000103220.1	1	0	0	1	0	0	0	0
ENSMUSG00000103222.1	0	0	0	3	0	1	1	0
ENSMUSG00000103293.1	0	0	0	2	0	0	0	0
ENSMUSG00000103313.1	2	0	0	1	0	0	0	1
ENSMUSG00000103343.1	3	0	2	1	2	1	0	0
ENSMUSG00000103349.1	0	0	1	1	1	1	0	0
ENSMUSG00000103357.1_ENSMUSG00000026548.4	0	0	0	0	1	2	0	0
ENSMUSG00000103373.1	0	1	0	3	1	0	0	1
ENSMUSG00000103400.2	6	13	9	5	6	2	4	3
ENSMUSG00000103415.1	1	0	1	0	0	0	0	0
ENSMUSG00000103436.1	3	4	3	4	1	2	0	1
ENSMUSG00000103472.1	0	0	0	3	1	0	1	0
ENSMUSG00000103473.1_ENSMUSG00000053706.2	1	0	0	4	1	0	0	0
ENSMUSG00000103520.1	0	1	1	0	0	0	0	0
ENSMUSG00000103546.1	0	1	1	0	0	0	0	0
ENSMUSG00000103567.1	3	1	0	8	1	2	0	0
ENSMUSG00000103570.1	0	0	0	2	0	0	0	0
ENSMUSG00000103585.1	1	1	0	2	0	0	0	0
ENSMUSG00000103588.1	1	1	0	0	0	0	2	0
ENSMUSG00000103591.1	0	0	1	5	6	0	1	1
ENSMUSG00000103593.1	12	15	12	15	20	13	14	5
ENSMUSG00000103620.1	0	0	2	0	0	0	0	0
ENSMUSG00000103621.1_ENSMUSG00000006673.14	0	1	0	2	1	0	0	0
ENSMUSG00000103630.1	0	0	0	1	1	0	0	0
ENSMUSG00000103646.1	1	0	0	1	0	0	0	0
ENSMUSG00000103653.1	0	0	0	2	0	0	0	0
ENSMUSG00000103658.1	0	0	0	1	0	0	2	0
ENSMUSG00000103703.2_ENSMUSG00000027774.16	0	1	0	0	1	0	1	1
ENSMUSG00000103711.1_ENSMUSG00000026641.13	3	0	0	1	2	1	0	0
ENSMUSG00000103731.1	0	0	1	1	0	0	0	0
ENSMUSG00000103747.1	0	0	1	1	0	0	0	0
ENSMUSG00000103749.1	2	1	3	6	5	2	1	4
ENSMUSG00000103766.5_ENSMUSG00000010538.14	1	0	1	0	0	0	1	0
ENSMUSG00000103783.1	0	0	0	1	1	0	0	0
ENSMUSG00000103793.1	2	1	0	4	0	0	0	1
ENSMUSG00000103805.1	0	0	0	2	0	0	0	0
ENSMUSG00000103839.1	1	0	0	0	0	1	0	1
ENSMUSG00000103845.1	0	1	5	2	0	0	0	0
ENSMUSG00000103847.1	6	4	1	12	4	1	0	0
ENSMUSG00000103851.1	0	0	1	1	0	0	0	0
ENSMUSG00000103857.1	1	0	0	0	1	0	0	0
ENSMUSG00000103864.1	1	6	2	1	0	1	0	1
ENSMUSG00000103869.1	0	0	0	4	0	0	0	0
ENSMUSG00000103898.1	0	2	1	1	0	0	1	0
ENSMUSG00000103900.1	5	3	9	5	0	4	1	3
ENSMUSG00000103901.1_ENSMUSG00000026718.17	0	2	0	1	0	1	1	0
ENSMUSG00000103906.1	0	0	3	0	0	3	2	2
ENSMUSG00000103908.1	0	0	0	2	0	1	0	0
ENSMUSG00000103916.1	1	1	0	1	1	0	0	0
ENSMUSG00000103928.1	0	0	0	1	0	0	0	1
ENSMUSG00000103929.1	0	0	0	2	0	4	0	0
ENSMUSG00000103932.1	0	0	0	1	1	0	0	0
ENSMUSG00000103940.1	6	1	2	0	1	1	0	0
ENSMUSG00000103945.1	1	0	0	1	0	0	0	0
ENSMUSG00000103975.1	4	1	1	1	0	0	1	2
ENSMUSG00000104005.1	1	0	0	0	1	0	0	0
ENSMUSG00000104012.1	0	1	0	0	0	1	0	0
ENSMUSG00000104030.1	11	12	8	32	19	2	3	10
ENSMUSG00000104063.1	7	10	5	5	6	2	4	5
ENSMUSG00000104068.1_ENSMUSG00000102715.1	0	0	1	4	2	1	1	0
ENSMUSG00000104113.1	0	1	4	0	0	1	0	0
ENSMUSG00000104154.1	1	0	0	1	1	0	0	1
ENSMUSG00000104168.1	0	1	1	1	0	0	0	0
ENSMUSG00000104181.1	0	1	0	0	1	0	0	0
ENSMUSG00000104181.1_ENSMUSG00000026470.14	0	0	1	1	1	0	0	0
ENSMUSG00000104195.1	0	2	0	0	1	1	0	0
ENSMUSG00000104200.1	1	0	0	2	2	0	0	1
ENSMUSG00000104217.1	2	1	3	1	2	0	0	0
ENSMUSG00000104250.2	165	148	118	109	132	79	94	53
ENSMUSG00000104291.1	1	0	5	9	6	0	0	0
ENSMUSG00000104316.1	2	1	1	0	0	0	0	1
ENSMUSG00000104340.1	0	0	1	0	0	1	0	0
ENSMUSG00000104351.1	0	2	1	2	4	3	1	0
ENSMUSG00000104369.1	1	0	2	1	2	0	0	0
ENSMUSG00000104378.1	4	1	0	4	2	0	0	0
ENSMUSG00000104388.1	2	2	6	5	10	0	0	1
ENSMUSG00000104394.2	0	1	0	2	0	1	2	1
ENSMUSG00000104404.1	0	0	0	0	0	2	0	0
ENSMUSG00000104463.2	696	715	467	417	510	136	161	113
ENSMUSG00000104466.1	0	1	1	1	1	0	0	0
ENSMUSG00000104467.1	0	0	0	1	1	0	0	0
ENSMUSG00000104484.1	0	2	3	1	9	0	2	0
ENSMUSG00000104484.1_ENSMUSG00000041515.10	2	1	3	1	1	0	1	0
ENSMUSG00000104488.1	1	2	4	1	0	0	0	0
ENSMUSG00000104493.1	1	0	1	0	0	0	0	0
ENSMUSG00000104510.1	0	0	2	0	0	0	0	1
ENSMUSG00000104576.1	0	2	0	0	1	1	1	0
ENSMUSG00000104585.1	2	0	2	3	2	0	0	0
ENSMUSG00000104654.1_ENSMUSG00000043953.12	11	8	12	3	3	40	25	9
ENSMUSG00000104662.1	0	1	0	0	0	1	3	0
ENSMUSG00000104667.1	2	0	0	0	1	0	0	0
ENSMUSG00000104682.1	2	0	0	0	0	0	0	0
ENSMUSG00000104686.1	0	0	1	0	0	0	1	0
ENSMUSG00000104698.1	0	0	0	1	0	0	1	0
ENSMUSG00000104710.1	0	0	3	0	2	0	0	0
ENSMUSG00000104713.4	91	58	255	54	49	132	149	101
ENSMUSG00000104724.1	0	0	1	0	1	0	0	0
ENSMUSG00000104761.1	3	3	2	0	4	0	0	1
ENSMUSG00000104766.1	0	0	0	2	0	0	0	0
ENSMUSG00000104784.1	0	1	1	0	0	0	0	0
ENSMUSG00000104795.1	2	4	0	3	5	0	1	0
ENSMUSG00000104814.1	0	0	0	1	0	0	1	0
ENSMUSG00000104835.4	2	9	16	3	2	2	2	1
ENSMUSG00000104852.1	1	0	0	1	0	0	0	0
ENSMUSG00000104872.1	0	0	0	2	0	0	0	0
ENSMUSG00000104873.1	0	0	0	2	0	0	0	0
ENSMUSG00000104920.1	2	0	0	3	1	0	0	0
ENSMUSG00000104947.1	0	0	0	1	1	0	0	0
ENSMUSG00000104960.1	0	1	4	0	2	3	4	1
ENSMUSG00000105004.1_ENSMUSG00000028088.14	25	22	11	31	29	10	10	7
ENSMUSG00000105044.1	2	1	2	3	2	1	2	1
ENSMUSG00000105050.1	0	0	2	0	0	0	0	0
ENSMUSG00000105071.1	3	4	4	4	4	0	0	0
ENSMUSG00000105095.1_ENSMUSG00000027709.9	1	0	3	2	3	0	0	0
ENSMUSG00000105103.1	0	0	3	0	0	0	0	1
ENSMUSG00000105127.1_ENSMUSG00000019659.8	0	0	0	0	0	0	2	0
ENSMUSG00000105134.1	0	0	2	0	0	0	0	0
ENSMUSG00000105139.1	1	1	2	1	0	0	0	0
ENSMUSG00000105140.1	1	0	0	1	3	1	1	1
ENSMUSG00000105161.1	0	0	0	1	0	0	0	1
ENSMUSG00000105161.1_ENSMUSG00000029504.5	12	4	8	24	18	6	6	6
ENSMUSG00000105199.1	0	1	0	1	0	0	0	0
ENSMUSG00000105201.1	4	1	4	7	5	2	0	0
ENSMUSG00000105241.1	1	1	0	0	0	0	0	0
ENSMUSG00000105272.1	0	0	2	1	0	2	0	0
ENSMUSG00000105272.1_ENSMUSG00000027900.15	12	15	16	30	20	1	3	6
ENSMUSG00000105275.1	0	3	6	1	3	0	0	0
ENSMUSG00000105287.1	0	0	0	2	0	0	0	0
ENSMUSG00000105324.1	0	0	1	1	0	0	0	0
ENSMUSG00000105326.1	3	1	3	8	3	0	0	1
ENSMUSG00000105331.1	1	0	0	1	0	0	0	0
ENSMUSG00000105338.1	6	3	9	4	4	4	2	3
ENSMUSG00000105338.1_ENSMUSG00000040253.15	7	4	17	5	0	7	4	2
ENSMUSG00000105345.1	0	1	1	2	0	0	0	0
ENSMUSG00000105374.1	0	1	6	3	3	0	0	1
ENSMUSG00000105378.1	0	0	2	2	2	0	0	0
ENSMUSG00000105380.1_ENSMUSG00000094212.3_ENSMUSG00000076858.3	1	1	0	0	1	0	0	0
ENSMUSG00000105388.1	0	3	2	0	1	2	2	2
ENSMUSG00000105429.1	1	0	0	6	1	1	1	0
ENSMUSG00000105431.1	1	0	0	0	0	2	0	0
ENSMUSG00000105443.1	0	0	0	2	0	0	0	0
ENSMUSG00000105449.1_ENSMUSG00000097032.2	5	6	4	8	7	2	5	0
ENSMUSG00000105457.1_ENSMUSG00000015882.18	0	0	0	6	4	0	0	1
ENSMUSG00000105460.1	2	1	0	0	1	0	0	1
ENSMUSG00000105471.1	4	3	11	3	4	8	6	1
ENSMUSG00000105472.1	1	0	0	1	0	0	0	0
ENSMUSG00000105504.4	10	9	25	4	5	57	48	13
ENSMUSG00000105509.1	6	2	6	5	5	2	2	4
ENSMUSG00000105516.4	0	1	0	1	1	0	0	2
ENSMUSG00000105553.1	1	0	0	1	0	0	0	0
ENSMUSG00000105655.1	1	0	3	0	0	0	0	0
ENSMUSG00000105659.1	5	4	2	3	3	0	0	0
ENSMUSG00000105691.1	0	0	1	1	1	0	0	0
ENSMUSG00000105692.1	0	0	0	1	1	0	0	0
ENSMUSG00000105698.1	0	0	0	4	0	1	0	0
ENSMUSG00000105699.1	1	6	1	4	2	1	2	0
ENSMUSG00000105703.2	1	10	4	11	6	11	7	8
ENSMUSG00000105714.1	0	1	1	3	2	0	1	0
ENSMUSG00000105728.1	2	1	1	10	3	0	0	1
ENSMUSG00000105748.1_ENSMUSG00000074212.7	4	0	0	1	0	0	0	0
ENSMUSG00000105769.1	6	16	10	3	12	15	29	9
ENSMUSG00000105826.1	1	2	2	0	1	0	0	0
ENSMUSG00000105835.1	0	0	0	2	2	0	0	0
ENSMUSG00000105843.1	0	0	0	0	2	3	2	1
ENSMUSG00000105848.1	1	1	0	2	5	0	0	0
ENSMUSG00000105851.1	1	3	0	0	1	0	0	0
ENSMUSG00000105852.4	0	0	0	2	0	0	0	3
ENSMUSG00000105867.2	0	5	10	1	0	8	1	0
ENSMUSG00000105870.1	1	0	2	0	0	0	0	1
ENSMUSG00000105875.1	0	1	1	0	0	1	0	0
ENSMUSG00000105875.1_ENSMUSG00000023106.15	1	3	1	2	1	2	6	1
ENSMUSG00000105881.1	0	0	2	0	0	0	1	0
ENSMUSG00000105896.1_ENSMUSG00000029201.14	6	1	3	5	1	3	1	2
ENSMUSG00000105941.1	0	1	0	0	0	0	1	0
ENSMUSG00000105954.1	26	37	31	11	17	28	25	24
ENSMUSG00000105962.1	0	1	0	1	0	0	0	0
ENSMUSG00000105987.4	368	266	214	292	241	176	169	112
ENSMUSG00000106019.1	3	5	7	6	3	4	4	1
ENSMUSG00000106022.1	0	0	0	0	0	1	1	0
ENSMUSG00000106096.1	0	0	0	0	2	0	0	0
ENSMUSG00000106099.1_ENSMUSG00000028134.11	0	0	0	2	1	0	0	0
ENSMUSG00000106102.1	8	1	0	2	3	3	2	1
ENSMUSG00000106143.1	0	0	0	2	0	1	0	0
ENSMUSG00000106149.1	7	4	4	8	0	0	1	2
ENSMUSG00000106157.1	11	4	2	3	5	1	1	0
ENSMUSG00000106164.1	1	0	1	1	0	0	0	0
ENSMUSG00000106205.1	4	9	10	4	5	2	3	3
ENSMUSG00000106209.1	0	0	1	0	0	1	0	0
ENSMUSG00000106219.1	7	4	5	15	8	1	3	2
ENSMUSG00000106227.1	1	1	0	0	0	0	2	0
ENSMUSG00000106229.1	1	1	3	4	2	0	0	0
ENSMUSG00000106237.1_ENSMUSG00000029714.11	2	0	5	5	1	6	0	1
ENSMUSG00000106241.1_ENSMUSG00000028933.11	0	2	1	0	1	0	0	0
ENSMUSG00000106251.1	0	0	1	0	1	0	0	0
ENSMUSG00000106251.1_ENSMUSG00000070372.11	0	0	2	0	0	0	0	0
ENSMUSG00000106254.1	0	0	1	10	1	0	0	0
ENSMUSG00000106254.1_ENSMUSG00000106636.1	0	0	1	1	0	0	0	0
ENSMUSG00000106261.1	0	2	0	0	0	1	0	0
ENSMUSG00000106317.1	5	1	0	4	2	0	0	0
ENSMUSG00000106357.1_ENSMUSG00000105377.1	0	1	1	2	0	0	0	0
ENSMUSG00000106383.1_ENSMUSG00000038619.12	1	0	1	0	2	0	2	0
ENSMUSG00000106421.1	1	0	0	1	0	0	0	0
ENSMUSG00000106438.1_ENSMUSG00000070639.5	0	0	1	0	0	0	2	1
ENSMUSG00000106472.1	2	0	7	13	3	2	0	0
ENSMUSG00000106475.1	2	3	2	3	1	1	0	0
ENSMUSG00000106478.1	0	0	2	0	0	0	1	1
ENSMUSG00000106515.4	1	0	0	1	0	0	0	0
ENSMUSG00000106550.1	0	0	1	0	0	1	0	0
ENSMUSG00000106553.1	5	1	6	1	5	0	0	1
ENSMUSG00000106590.1	0	0	0	2	0	2	0	1
ENSMUSG00000106617.1_ENSMUSG00000105408.1	2	2	0	2	4	0	0	0
ENSMUSG00000106623.1	0	0	0	2	2	0	0	0
ENSMUSG00000106629.1	1	0	1	0	0	0	0	0
ENSMUSG00000106636.1	0	0	1	1	0	0	0	0
ENSMUSG00000106678.1	0	0	0	1	0	0	0	1
ENSMUSG00000106685.3	0	0	0	2	1	0	0	0
ENSMUSG00000106687.5	113	92	68	192	133	36	37	47
ENSMUSG00000106695.4	181	117	91	135	110	90	99	49
ENSMUSG00000106720.1	0	0	0	3	1	0	0	0
ENSMUSG00000106722.3	341	236	200	278	273	129	142	117
ENSMUSG00000106732.1	0	0	2	2	0	0	0	0
ENSMUSG00000106734.3	258	234	385	276	203	24	60	85
ENSMUSG00000106739.1	0	0	0	1	1	0	1	0
ENSMUSG00000106751.1	2	3	4	2	3	1	0	1
ENSMUSG00000106767.1	2	2	0	0	1	0	0	0
ENSMUSG00000106772.1	0	0	0	2	2	0	0	0
ENSMUSG00000106772.1_ENSMUSG00000029207.16	2	1	2	1	9	1	0	0
ENSMUSG00000106813.1	0	0	0	2	0	6	0	0
ENSMUSG00000106818.1	0	0	0	0	2	0	0	0
ENSMUSG00000106820.1	1	2	1	0	0	0	0	0
ENSMUSG00000106825.1	8	5	1	3	2	1	2	0
ENSMUSG00000106825.1_ENSMUSG00000032741.9	1	3	0	0	0	0	0	0
ENSMUSG00000106831.1	0	3	0	3	0	0	0	0
ENSMUSG00000106847.1	188	120	63	242	177	48	50	78
ENSMUSG00000106850.4	23	22	13	13	5	4	12	7
ENSMUSG00000106864.3	370	270	291	442	301	155	171	158
ENSMUSG00000106864.3_ENSMUSG00000107283.3	0	1	0	1	0	0	0	0
ENSMUSG00000106874.1	37	30	22	48	40	18	35	8
ENSMUSG00000106907.4	18	10	8	45	18	10	9	12
ENSMUSG00000106911.1	10	16	9	3	8	16	11	8
ENSMUSG00000106918.3	8	15	36	3	2	5	6	5
ENSMUSG00000106918.3_ENSMUSG00000029141.16	2	0	0	0	0	0	0	0
ENSMUSG00000106923.3	12	18	26	8	7	4	7	3
ENSMUSG00000106928.1_ENSMUSG00000029097.11	1	0	1	3	0	0	0	0
ENSMUSG00000106943.2	2	1	0	0	1	0	0	0
ENSMUSG00000106951.1	1	1	1	0	1	0	0	0
